date,weekday,pax,location
17-12-2025,woensdag,20,nassauzaal
17-12-2025,woensdag,13,hofdame
17-12-2025,woensdag,12,hofdame
17-12-2025,woensdag,30,nassauzaal
17-12-2025,woensdag,47,extern
18-1-2025,zaterdag,70,extern
18-1-2025,zaterdag,26,nassauzaal
18-1-2025,zaterdag,26,nassauzaal
18-1-2025,zaterdag,10,hofdame
18-1-2026,zondag,20,extern
18-2-2026,woensdag,60,extern
18-2-2026,woensdag,15,extern
18-3-2025,dinsdag,12,nassauzaal
18-4-2025,vrijdag,20,extern
18-6-2025,woensdag,18,hofdame
18-6-2025,woensdag,18,nassauzaal
18-6-2025,woensdag,4,prinsessezaal
18-7-2024,donderdag,18,hofdame
18-7-2024,donderdag,7,prinsessezaal
18-7-2024,donderdag,32,binnentuin
18-7-2025,vrijdag,35,extern
18-7-2025,vrijdag,4,prinsessezaal
18-9-2025,donderdag,10,heer ivo zaal
18-10-2025,zaterdag,21,nassauzaal
18-11-2024,maandag,8,heer ivo zaal
18-11-2025,dinsdag,21,nassauzaal
18-11-2025,dinsdag,12,heer ivo zaal
18-11-2025,dinsdag,16,hofdame
18-12-2024,woensdag,5,heer ivo zaal
18-12-2025,donderdag,27,nassauzaal
18-12-2025,donderdag,14,opkamer
18-12-2025,donderdag,60,extern
18-12-2025,donderdag,30,extern
19-1-2025,zondag,45,extern
19-2-2026,donderdag,14,nassauzaal
19-3-2025,woensdag,50,hofdame
19-3-2025,woensdag,50,nassauzaal
19-3-2025,woensdag,12,heer ivo zaal
19-3-2025,woensdag,13,hofdame
19-3-2025,woensdag,3,prinsessezaal
19-3-2026,donderdag,21,nassauzaal
19-3-2026,donderdag,7,extern
19-3-2026,donderdag,70,extern
19-5-2025,maandag,10,heer ivo zaal
19-6-2024,woensdag,9,heer ivo zaal
19-6-2024,woensdag,35,binnentuin
19-6-2025,donderdag,15,nassauzaal
19-6-2025,donderdag,17,nassauzaal
19-6-2025,donderdag,16,nassauzaal
19-6-2025,donderdag,8,prinsessezaal
19-8-2024,maandag,28,binnentuin
19-8-2025,dinsdag,60,extern
19-9-2024,donderdag,10,nassauzaal
19-10-2024,zaterdag,20,hofdame
19-10-2024,zaterdag,15,hofdame
19-11-2024,dinsdag,14,nassauzaal
